Name,Address,Rating,Enrollment,Grade span
Jefferson Elementary School,"10322 Condon Ave., Lennox",30,890,KG-05
Jefferson Elementary School,"333 N. W.wood Ave., Lindsay",29,481,KG-08
Jefferson Elementary School,"221 Old Hernandez Rd., Paicines",-,9,KG-08
Jefferson Elementary School,"8600 Jefferson St., Paramount",41,454,KG-05
Jefferson Elementary School,"1500 E. Villa St., Pasadena",18,385,KG-05
Jefferson Elementary School,"600 Harkness Ln., Redondo Beach",96,639,KG-05
Jefferson Elementary School,"1037 E. Duff Ave., Reedley",34,419,KG-05
Jefferson Elementary School,"4285 Jefferson St., Riverside",40,"1,012",KG-06
Jefferson Elementary School,"2001 Pebblewood, Sacramento",18,462,KG-05
Jefferson Elementary School,"3770 Utah St., San Diego",58,368,KG-05
Jefferson Elementary School,"1725 Irving St., San Francisco",83,511,KG-05
Jefferson Elementary School,"14300 Bancroft Ave., San Leandro",16,610,KG-05
Jefferson Elementary School,"1110 Tucker St., Sanger",17,415,KG-05
Jefferson Elementary School,"1522 W. Adams St., Santa Ana",24,773,KG-05
Jefferson Elementary School,"318 Taylor St., Taft",35,217,KG-03
Jefferson High School,"6996 Mission St., Daly City",44,"1,162",09-12
Jefferson High (Continuation) School,"720 Rockfellow Dr., Mount Shasta",-,22,09-12
Jefferson Leadership Academies School,"750 Euclid Ave., Long Beach",25,"1,108",06-08
Jefferson Middle School,"823 Acacia St., Oceanside",15,650,06-08
Jefferson Middle School,"1372 E. Las Tunas Dr., San Gabriel",75,"1,212",06-08
Jefferson Middle School,"21717 Talisman St., Torrance",88,639,06-08
Jeffrey Trail Middle School,"155 Visions, Irvine",98,999,07-08
Jellick Elementary School,"1400 S. Jellick Ave., Rowland Heights",36,413,KG-06
Jenny Lind Elementary School,"5100 Dr.r Rd., Valley Springs",18,515,KG-06
Jenny Oropeza Elementary School,"700 Locust Ave., Long Beach",24,835,KG-05
Jensen Ranch Elementary School,"20001 Carson Ln., Castro Valley",98,439,KG-05
Jerabek Elementary School,"10050 Avenida Magnifica, San Diego",99,647,KG-05
Jerry D. Holland Middle School,"4733 Landis Ave., Baldwin Park",17,482,06-08
Jerry Voorhis Elementary School,"3501 N. Durfee Ave., El Monte",20,480,KG-05
Jersey Avenue Elementary School,"9400 Jersey Ave., Santa Fe Springs",62,487,KG-05
Jesse G. Sanchez Elementary School,"901 N. Sanborn Rd., Salinas",8,850,KG-06
Jesse M. Bethel High School,"1800 Ascot Pkwy., Vallejo",42,"1,696",09-12
Jessie Baker School,"8850 S.side Ave., Elk Grove",-,170,KG-12
Jessie Benton Fremont Community Day School,"5171 Silva Rd., Mariposa",-,-1,-
Jessie Hayden Elementary School,"14782 Eden St., Midway City",84,838,KG-05
Jessie Nelson Academy School,"1951 Cherry Ave., Signal Hill",40,798,06-08
Jewel City Community Day School,"440 W. Lomita, Glendale",-,3,07-10
Jill Kinmont Boothe School,"166 Grandview Ln., Bishop",-,5,02-12
Jim Maples Academy School,"252 N. W.wood, Porterville",20,410,KG-06
Jim Thorpe Fundamental School,"2450 W. Alton, Santa Ana",71,"1,025",KG-05
Jim?nez Roberto And Dr. Francisco Elementary School,"1970 S. Biscayne St., Santa Maria",22,852,KG-06
Joan Macqueen Middle School,"2001 Tavern Rd., Alpine",51,528,06-08
Joaquin Miller Career And Transition Center School,"8218 Vanalden Ave., Los Angeles",-,229,06-12
Joaquin Miller Elementary School,"720 E. Providencia Ave., Burbank",85,746,KG-05
Joaquin Miller Elementary School,"5525 Ascot Dr., Oakland",79,425,KG-05
Joaquin Miller Middle School,"6151 Rainbow Dr., San Jose",98,"1,317",06-08
Joaquin Moraga Intermediate School,"1010 Camino Pablo, Moraga",99,681,06-08
Joe Baca School,"1640 S. Lilac Ave., Bloomington",27,894,07-08
Joe Hamilton Elementary School,"1050 E St., Crescent City",22,335,KG-05
Joe Henderson Elementary School,"650 Hastings Dr., Benicia",81,552,KG-05
Joe Michell School,"1001 Elaine Ave., Livermore",55,645,KG-08
Joe Nightingale Elementary School,"255 Winter Rd., Santa Maria",72,761,KG-06
Joe Serna Junior Charter School,"19 S. Central Ave., Lodi",39,332,KG-08
Joe Stefani School,"2768 Ranchero Ln., Merced",29,615,03-06
Joe Walker Middle School,"5632 W. Ave. L-8, Lancaster",57,931,06-08
Joel J. Hidahl Elementary School,"2351 E. Redwood Rd., Ceres",29,488,KG-06
Johanna Boss High School,"7650 S. Newcastle Rd., Stockton",8,131,08-12
Johanna Echols-Hansen High (Continuation) School,"322 N. Washington St., Cloverdale",-,18,09-12
John A. Otis Elementary School,"621 E. 18th St., National City",36,448,KG-06
John A. Rowland High School,"2000 S. Otterbein St., Rowland Heights",79,"2,221",09-12
John A. Sutter Middle School,"7330 Winnetka Ave., Los Angeles",17,862,06-08
John Adams Academy School,"One Sierragate Plaza, Roseville",75,"1,235",KG-12
John Adams Elementary School,"2350 Border Ave., Corona",60,699,KG-06
John Adams Elementary School,"50-800 Desert Club Dr., La Quinta",-,400,KG-5
John Adams Elementary School,"1822 National Ave., Madera",25,804,KG-06
John Adams Elementary School,"2121 238Th St, Torrance",78,412,KG-05
John Adams Middle School,"151 W. 30th St., Los Angeles",25,875,06-08
John Adams Middle School,"2425 16th St., Santa Monica",74,"1,065",06-08
John B. Allard School,"350 N. Kilroy Rd., Turlock",8,119,09-12
John B. Monlux Elementary School,"6051 Bellaire Ave., Los Angeles",43,684,KG-05
John B. Riebli Elementary School,"315 Mark W. Springs Rd., Santa Rosa",57,503,KG-06
John Baldwin Elementary School,"741 Brookside Dr., Danville",96,576,KG-05
John Barrett Middle School,"4243 Barrett Rd., Carmichael",29,662,06-08
John Bidwell Elementary School,"1730 65th Ave., Sacramento",35,368,KG-06
John Blacow Elementary School,"40404 Sundale Dr., Fremont",47,456,KG-06
John Burroughs Middle School,"600 S. McCadden Pl., Los Angeles",65,"1,842",06-08
John C Martinez Elementary School,"13174 E. Parlier Ave., Parlier",12,475,KG-06
John C. Fremont Elementary School,"1900 Bell Ave., Corcoran",19,596,02-03
John C. Fremont Elementary School,"3320 Las Palmas Ave., Glendale",90,695,KG-06
John C. Fremont Elementary School,"1120 W. 22nd St., Merced",20,583,KG-06
John C. Fremont Elementary School,"2021 E. Flora St., Stockton",4,896,KG-08
John C. Fremont Senior High School,"7676 S. San Pedro St., Los Angeles",22,"2,001",09-12
John C. Kimball High School,"3200 Jaguar Run, Tracy",65,"1,622",09-12
John Cabrillo Elementary School,"1141 Seamas Ave., Sacramento",16,384,KG-06
John D. Sloat Elementary School,"7525 Candlewood Way, Sacramento",4,230,KG-06
John Dolland Elementary School,"15021 S. Bloomfield Ave., Norwalk",32,610,KG-05
John E. Steinbeck Elementary School,"1714 Burlington Dr., Salinas",32,663,KG-06
John Ehrhardt Elementary School,"8900 Old Creek Dr., Elk Grove",52,918,KG-06
John F. Cruikshank Junior School,"2707 Transworld Dr., Stockton",5,119,KG-12
John F. Kennedy Elementary School,"785 Price St., Daly City",60,428,KG-05
John F. Kennedy Elementary School,"999 N. Crawford, Dinuba",19,583,KG-06
John F. Kennedy Elementary School,"45-100 Clinton St., Indio",17,512,KG-05
John F. Kennedy Elementary School,"35430 Blackburn Dr., Newark",75,348,KG-06
John F. Kennedy Elementary School,"19125 Schhouse Ln., Riverside",83,"1,096",KG-06
John F. Kennedy Elementary School,"1300 E. McFadden, Santa Ana",17,794,KG-05
John F. Kennedy High School,"39999 Blacow Rd., Fremont",68,"1,401",09-12
John F. Kennedy High School,"8281 Walker St., La Palma",81,"2,433",09-12
John F. Kennedy High School,"11254 Gothic Ave., Los Angeles",44,"2,099",09-12
John F. Kennedy High School,"1951 Third St., Norco",86,641,10-12
John F. Kennedy High School,"4300 Cutting Blvd., Richmond",8,858,09-12
John F. Kennedy High School,"6715 Gloria Dr., Sacramento",61,"2,221",09-12
John F. Kennedy Junior High School,"1000 E. Florinda St., Hanford",40,557,07-08
John F. Kennedy Middle School,"821 Bubb Rd., Cupertino",99,"1,474",06-08
John F. Kennedy Middle School,"2521 Goodwin Ave., Redwood City",33,691,06-08
John F. Land School,"15151 Temple St., Westminster",-,-,PK
John Finney High (Continuation) School,"233 Hobbs Ave., Vallejo",11,182,09-12
John Foster Dulles Elementary School,"12726 Meadowgreen Rd., La Mirada",47,233,KG-05
John Fremont Elementary School,"1220 W. Orangeburg Ave., Modesto",28,562,KG-06
John G. Mattos Elementary School,"37944 Farwell Dr., Fremont",78,615,KG-06
John Gill Elementary School,"555 Ave. Del Ora, Redwood City",12,347,KG-05
John Glenn Middle Of International Studies School,"79-655 Miles Ave., Indio",66,"1,470",06-08
John Gomes Elementary School,"555 Lemos Ln., Fremont",98,820,KG-06
John Green Elementary School,"3300 Antone Way, Dublin",97,891,KG-05
John H. Eader Elementary School,"9291 Banning Ave., Huntington Beach",95,611,KG-05
John H. Francis Polytechnic School,"12431 Roscoe Blvd., Los Angeles",51,"2,876",09-12
John H. Glenn High School,"13520 Shoemaker Ave., Norwalk",40,"1,450",09-12
John H. Liechty Middle School,"650 S. Union Ave., Los Angeles",10,"1,076",06-08
John H. Nuffer Elementary School,"14821 S. Jersey Ave., Norwalk",15,374,KG-05
John H. Pitman High School,"2525 W. Christofferson Pkwy., Turlock",64,"2,185",09-12
John H. Still School,"2250 John Still Dr., Sacramento",8,906,KG-08
John Henry High School,"251 S. 12th St., Richmond",66,125,09-12
John Hope Continuation School,"7840 Towne Ave., Los Angeles",20,74,09-12
John J. Cairns Continuation School,"290 N Harvard, Lindsay",26,66,09-12
John J. Doyle Elementary School,"1045 E. Orange Ave., Porterville",20,684,KG-06
John J. Montgomery Elementary School,"2010 Daniel Maloney Dr., San Jose",30,558,KG-06
John J. Pershing Elementary School,"1505 E. Ellis St., Madera",28,843,KG-06
John Kelley Elementary School,"87-163 Center St., Thermal",9,596,KG-06
John L. Golden Elementary School,"12400 Banyan St., Rancho Cucamonga",92,891,KG-05
John L. Prueitt Elementary School,"3501 Seventh St., Wasco",26,837,KG-06
John M. Horner Junior High School,"41365 Chapel Way, Fremont",95,"1,140",07-08
John Malcom Elementary School,"32261 Charles Ave., Laguna Niguel",91,686,KG-05
John Marshall Elementary School,"1201 E. BRd.way, Glendale",43,516,KG-05
John Marshall Elementary School,"1141 Lever Blvd., Stockton",10,613,KG-08
John Marshall Elementary School,"15791 Bushard St., Westminster",62,454,KG-06
John Marshall Senior High School,"3939 Tracy St., Los Angeles",64,"2,340",09-12
John Mccandless Charter School,"1700 Porter Way, Stockton",88,189,KG-08
John Morse Therapeutic Center School,"1901 60th Ave., Sacramento",3,56,03-08
John Muir School,"4431 Mt. Herbert Ave., San Diego",61,289,KG-12
John Muir Charter School,"12338 McCt.ney Rd., Grass Valley",6,"1,428",09-12
John Muir Elementary School,"2955 Claremont Ave., Berkeley",72,292,KG-05
John Muir Elementary School,"912 S. Chevy Chase Dr., Glendale",59,886,KG-06
John Muir Elementary School,"205 Vista Way, Martinez",56,401,KG-05
John Muir Elementary School,"300 W. 26th St., Merced",27,587,KG-06
John Muir Elementary School,"1215 Lucerne Ave., Modesto",12,526,KG-06
John Muir Elementary School,"130 Cambridge Ln., San Bruno",78,344,KG-05
John Muir Elementary School,"6560 Hanover Dr., San Jose",95,400,KG-05
John Muir Elementary School,"2526 Sixth St., Santa Monica",55,265,KG-05
John Muir Elementary School,"2303 Whistler Way, Stockton",70,636,KG-06
John Muir Fundamental Elementary School,"1951 N. Mabury, Santa Ana",60,"1,037",KG-05
John Muir High School,"1905 N. Lincoln Ave., Pasadena",31,902,09-12
John Muir Middle School,"1111 N. Kenneth Rd., Burbank",78,"1,459",06-08
John Muir Middle School,"707 Letts Ave., Corcoran",16,723,06-08
John Muir Middle School,"5929 S. Vermont Ave., Los Angeles",7,933,06-08
John Muir Middle School,"1260 Branham Ln., San Jose",53,"1,197",06-08
John Muir Middle School,"1444 Williams St., San Leandro",34,969,06-08
John Murdy Elementary School,"14851 Donegal Dr., Garden Grove",83,424,KG-06
John O. Tynes Elementary School,"735 Stanford, Placentia",74,851,KG-06
John R. Peterson Elementary School,"20661 Farnsworth Ln., Huntington Beach",95,705,KG-05
John R. Williams School,"2450 Meadow Ave., Stockton",23,618,KG-06
John R. Wooden High School,"18741 Elkwood St., Los Angeles",18,97,09-12
John Reed Primary School,"390 Arlen Dr., Rohnert Park",-,281,KG-02
John Reith Elementary School,"8401 Valley Lark Dr., Sacramento",23,539,KG-06
John S. Wash Elementary School,"6350 E. Ln. Ave., Fresno",65,506,KG-06
John Sinnott Elementary School,"2025 Yellowstone Ave., Milpitas",96,775,KG-06
John Stallings Elementary School,"1980 Fullerton Ave., Corona",34,596,KG-06
John Steinbeck Elementary School,"3550 N. Milburn Ave., Fresno",23,775,KG-06
John Sutter Middle School,"701 E. Walter, Fowler",39,583,06-08
John Swett Elementary School,"4955 Alhambra Valley Rd., Martinez",73,536,KG-05
John Swett High School,"1098 Pomona St., Crockett",55,565,09-12
John Vierra High School,"364 Murphys Grade Rd, Angels City",-,17,09-12
John W. Mack Elementary School,"3020 S. Catalina St., Los Angeles",8,419,KG-05
John W. North High School,"1550 W. Third St., Riverside",41,"2,274",09-12
John And Jacquelyn Miller Elementary School,"43420 22nd St. W., Lancaster",32,666,KG-06
Johnnie Cochran Junior Middle School,"4066 W. Johnnie Cochran Vista, Los Angeles",12,827,06-08
Johnson Elementary School,"500 W. Madison, El Cajon",8,612,KG-05
Johnson Elementary School,"1355 Kelton Rd., San Diego",29,389,KG-05
Johnson Middle School,"13603 Edwards St., Westminster",62,747,06-08
Johnson Park Elementary School,"4364 Lever Ave., Olivehurst",27,368,KG-06
Johnston Cooper Elementary School,"612 Del Mar St., Vallejo",11,570,KG-05
Johnstonville Elementary School,"704-795 Bangham Ln., Susanville",27,204,KG-08
Joli Ann Leichtag Elementary School,"653 Poinsettia Ave., Vista",52,781,KG-05
Jonas E. Salk School,"1411 S. Gilbert St., Anaheim",49,819,KG-06
Jonas Salk Elementary School,"7825 Flanders Dr., San Diego",86,496,KG-05
Jonata Middle School,"301 Second St., Buellton",86,219,06-08
Jones Elementary School,"2751 Greyling Dr., San Diego",77,346,KG-05
Jordan (June) For Equity School,"325 La Grande Ave., San Francisco",24,258,09-12
Jordan Elementary School,"4319 E. Jordan Ave., Orange",23,420,KG-06
Jordan Elementary School,"10654 Jordan Rd., Whittier",57,386,KG-06
Jordan High School,"6500 Atlantic Ave., Long Beach",18,"3,195",09-12
Jordan Secondary Learning Center School,"9915 Woodbury Ave., Garden Grove",-,82,09-12
Jose Sepulveda Elementary School,"1801 S. Poplar, Santa Ana",10,460,KG-05
Joseph A. Gascon Elementary School,"630 S. Leonard St., Los Angeles",11,850,KG-05
Joseph A. Gregori High School,"3701 Pirrone Rd., Modesto",62,"2,205",09-12
Joseph Arnold Elementary School,"4100 227th St., Torrance",92,727,KG-05
Joseph Azevada Elementary School,"39450 Royal Palm Dr., Fremont",82,605,KG-06
Joseph George Middle School,"277 Mahoney Dr., San Jose",30,607,06-08
Joseph H. Wardlaw Elementary School,"1698 Oakwood Ave., Vallejo",43,810,KG-05
Joseph Kerr Middle School,"8865 Elk Grove Blvd., Elk Grove",63,941,07-08
Joseph Le Conte Middle School,"1316 N. Bronson Ave., Los Angeles",22,909,06-08
Joseph M. Simas School,"1875 Fitzgerald, Hanford",67,501,KG-06
Joseph Pomeroy Widney High School,"2302 S. Gramercy Pl., Los Angeles",-,230,06-12
Joseph R. Perry Elementary School,"19231 Harding Ln., Huntington Beach",52,430,KG-05
Joseph Sims Elementary School,"3033 Buckminster Dr., Elk Grove",79,812,KG-06
Joseph Weller Elementary School,"345 Boulder Dr., Milpitas",80,455,KG-06
Joseph Widmer Junior Elementary School,"751 Stonebridge Ln., Lathrop",34,843,KG-08
Josephine Chrysler Elementary School,"2818 Conant Ave., Modesto",15,618,KG-06
Joshua Chadbourne Elementary School,"801 Plymouth Ave., Fremont",98,788,KG-06
Joshua Circle Elementary School,"10140 Eighth Ave., Hesperia",7,793,KG-06
Joshua Cowell Elementary School,"740 Pestana Ave., Manteca",31,577,KG-08
Joshua Elementary School,"43926 N. Second St. E., Lancaster",3,671,KG-05
Joshua Hills Elementary School,"3030 Fairfield, Palmdale",19,758,KG-06
Joshua Tree Elementary School,"6051 Sunburst Dr., Joshua Tree",17,318,KG-06
Journey School,"27102 Foxborough, Aliso Viejo",63,424,KG-08
Joyner Elementary School,"4271 Myrtle Ave., San Diego",27,686,KG-05
Juan Bautista De Anza School,"2101 S. Marina Dr. Ste. 4, Salton City",31,70,07-12
Juan Cabrillo Elementary School,"5309 W. 135th St., Hawthorne",-,466,KG-02
Juan Cabrillo Elementary School,"30237 Morning View Dr., Malibu",85,195,KG-05
Juan Cabrillo Middle School,"2550 Cabrillo Ave., Santa Clara",46,894,06-08
Juan De Anza Elementary School,"12110 Hindry Ave., Hawthorne",72,603,KG-05
Juan Lagunas Soria Elementary School,"3101 Dunkirk Dr., Oxnard",25,"1,036",KG-08
Juana Briones Elementary School,"4100 Orme St., Palo Alto",97,335,KG-05
Juanamaria Elementary School,"100 S. Crocker Ave., Ventura",77,440,KG-05
Juanita Blakely Jones Elementary School,"700 N. F St., San Bernardino",18,430,KG-06
Juarez (Benito) Elementary School,"841 S. Sunkist St., Anaheim",35,764,KG-06
Juarez (Benito) Elementary School,"11939 Aclare St., Cerritos",36,351,KG-06
Juarez Elementary School,"2633 Melbourne Dr., San Diego",48,240,KG-05
Juarez-Lincoln Elementary School,"849 Twining Ave., San Diego",38,565,KG-06
Judith F. Baca Arts Academy School,"1536 E. 89th St., Los Angeles",12,718,KG-06
Judkins Middle School,"680 Wadsworth St., Pismo Beach",61,447,07-08
Judson & Brown Elementary School,"1401 E. Pennsylvania Ave., Redlands",75,554,KG-05
Julia B. Morrison Elementary School,"13510 S. Maidstone, Norwalk",56,795,KG-05
Julia C. Lathrop Intermediate School,"1111 S. BRd.way, Santa Ana",10,966,06-08
Julia Morgan Elementary School,"3777 A. G. Spanos Blvd., Stockton",58,534,KG-06
Julian Charter School,"1704 Cape Horn, Julian",62,"2,450",KG-12
Julian Elementary School,"1704 Cape Horn, Julian",34,213,KG-05
Julian High School,"1656 Highway 78, Julian",52,157,09-12
Julian Junior High School,"1704 Cape Horn, Julian",72,101,06-08
Julie Korenstein Elementary School,"7650 Ben Ave., Los Angeles",17,534,KG-05
Julien Elementary School,"1924 E. Canal Dr., Turlock",45,829,KG-06
Julien Hathaway Elementary School,"405 E. Dollie St., Oxnard",12,609,KG-05
Juliet Morris Elementary School,"9952 Graham St., Cypress",86,733,KG-06
Juliette Low School,"215 N. Ventura, Anaheim",57,704,KG-06
Julius Corsini Elementary School,"68750 Hacienda Dr., Desert Hot Springs",12,480,KG-05
Junction City Elementary School,"430 Red Hill Rd., Junction City",58,78,KG-08
Junction Elementary School,"9087 Deschutes Rd., Palo Cedro",77,273,KG-08
Junction Elementary School,"2150 Ellison Dr., Roseville",94,724,KG-05
Junction Elementary School,"98821 Highway 96, Somes Bar",25,31,KG-08
Junction K-8 School,"298 Junction Ave., Livermore",38,836,KG-08
Juniper School,"375 Ellis St., Redding",15,230,KG-08
Juniper Elementary School,"1809 S. Juniper St., Escondido",18,664,KG-05
Juniper Elementary School,"7655 Juniper Ave., Fontana",15,627,KG-05
Juniper Elementary School,"9400 I Ave., Hesperia",26,655,KG-06
Juniper Ridge Elementary School,"709-855 Termo-Grasshopper Rd., Termo",-,10,KG-08
Junipero Serra Elementary School,"151 Victoria St., Daly City",59,321,KG-05
Junipero Serra Elementary School,"8880 Halifax St., Ventura",76,604,KG-05
Junipero Serra High School,"31422 Camino Capistrano, San Juan Capistrano",16,165,09-12
Jurupa Hills High School,"10700 Oleander Ave., Fontana",39,"2,037",09-12
Jurupa Middle School,"8700 Galena St., Jurupa",30,"1,236",07-08
Jurupa Unified District Pre-K Readiness Center School,"5960 Mustang Ln., Jurupa",-,-,PK
Jurupa Valley High School,"10551 Bellegrave Ave., Jurupa",42,"1,616",09-12
Jurupa Vista Elementary School,"15920 Village Dr. E., Fontana",27,592,KG-06
Justice Street Academy Charter School,"23350 Just St., Los Angeles",63,399,KG-05
Justin Early Learners Academy School,"2245 N. Justin Ave., Simi Valley",-,-,PK-KG
Juvenile Hall (Endeavor/Voyager Secondary) School,"28261 Ave. 14, Madera",13,25,07-12
K Anthony School,"8420 CRENSHAW BLVD, Inglewood",-,99,KG-6
K. I. Jones Elementary School,"2001 Winston Dr., Fairfield",80,747,KG-05
Kabbalah Children's Academy School,"9250 WEST OLYMPIC BLVD, Beverly Hills",-,118,PK-8
Kabbalah Children's Academy School,"9250 W OLYMPIC BLVD, Beverly Hills",-,135,PK-8
Kadima Day School,"7011 SHOUP AVE, Los Angeles",-,267,PK-8
Katherine Delmar Burke School,"7070 CALIFORNIA ST, San Francisco",-,400,KG-8
Katherine Michiels School,"1335 GUERRERO ST, San Francisco",-,84,PK-5
Kc Kids Pre- School,"1220 E. Washington Ave., Reedley",-,-,-
Kehillah Jewish High School,"3900 FABIAN WAY, Palo Alto",-,185,9-12
Keith Thompson School,"1850 SAN BENITO STREET, Hollister",-,10,2-7
Kerman Christian School,"15495 W WHITESBRIDGE AVE, Kerman",-,122,PK-6
Kern Sda Elementary School,"30105 RIVERSIDE ST, Shafter",-,8,2-8
Kid Junction School,"20704 SAN JOSE HILLS RD, Walnut",-,28,PK-KG
Kida School,"17861 VON KARMAN AVE, Irvine",-,14,Ungraded
Kiddie Garden Pre School,"1305 MIDDLEFIELD RD, Redwood City",-,58,PK-KG
Kiddie Kollege School,"490 S COMPADRE RD, Palm Springs",-,47,PK-KG
Kiddie Kollege Inc. School,"3301 W. MANCHESTER BLVD., Inglewood",-,36,PK-KG
Kids Castle Child Care Center School,"745 N LA BREA AVE, Inglewood",-,150,PK-KG
Kids Club School,"1825 N VINEYARD AVE, Ontario",-,18,PK-KG
Kids Connection Elementary School,"1998 BEACH PARK BLVD, Foster City",-,230,PK-5
Kids Cottage School,"16527 LAKESHORE DR., Lake Elsinore",-,35,PK-KG
Kids Discovery World School,"15858 BEAR VALLEY RD, Victorville",-,76,PK-KG
Kids Preparatory Academy School,"2727 S LA BREA AVE, Los Angeles",-,65,PK-1
Kids World & Cornerstone Academy Of La School,"2132 HYPERION AVE, Los Angeles",-,63,KG-12
Kidsville Usa School,"8464 CORBIN AVE, Los Angeles",-,22,PK-1
Kimber Hills Academy School,"39700 MISSION BLVD, Fremont",-,261,PK-8
Kinder Kids Christian Pre School,"5353 W PICO BLVD, Los Angeles",-,33,PK-KG
Kindercare School,"855 PASEO WESTPARK, Irvine",-,81,PK-KG
Kindercare Learning Center School,"25507 MOULTON PKWY, Aliso Viejo",-,22,PK-KG
Kindercare Learning Center School,"13815 PEYTON DR, Chino Hills",-,70,PK-KG
Kindercare Learning Center School,"5448 SAN JUAN AVE, Citrus Heights",-,21,PK-KG
Kindercare Learning Center School,"4727 CALAVERAS AVE, Fremont",-,24,PK-KG
Kindercare Learning Center School,"30075 ALICIA PKWY, Laguna Niguel",-,62,PK-KG
Kindercare Learning Center School,"16901 LASSEN ST, Los Angeles",-,73,PK-KG
Kindercare Learning Center School,"400 S ABEL ST, Milpitas",-,32,PK-KG
Kindercare Learning Center School,"860 N HILLVIEW DR, Milpitas",-,36,PK-KG
Kindercare Learning Center School,"650 NE HOLIDAY ST, Portland",-,57,PK-KG
Kindercare Learning Center School,"11249 BASELINE RD, Rancho Cucamonga",-,27,PK-KG
Kindercare Learning Center School,"10191 FOOTHILL BLVD, Rancho Cucamonga",-,109,PK-KG
Kindercare Learning Center School,"1609 CALVARY CIR, Redlands",-,83,PK-KG
Kindercare Learning Center School,"3320 SAN FELIPE RD, San Jose",-,110,PK-KG
Kindercare Learning Center School,"2515 W SUNFLOWER AVE, Santa Ana",-,88,PK-KG
Kindercare Learning Center School,"13615 BEAR VALLEY RD, Victorville",-,71,PK-KG
Kindercare Learning Center School,"33788 YUCAIPA BLVD, Yucaipa",-,84,PK-KG
Kindercare Learning Center #1660 Placentia School,"1001 E IMPERIAL HWY, Placentia",-,34,PK-5
Kindercare Learning Center- Foothill School,"5141 FOOTHILLS BLVD, Roseville",-,36,PK-KG
Kindercare Learning Centers School,"1611 WOODCREEK DR, Fairfield",-,115,PK-KG
Kindercare Learning Centers School,"13523 BASELINE AVE, Fontana",-,64,PK-KG
Kindercare Learning Centers # 218 School,"2515 E SOUTH ST, Anaheim",-,86,PK-KG
Kindercare Learning Centers #1065 School,"3443 S NOGALES ST, West Covina",-,51,PK-KG
Kinderchicks School,"10837 COLLINS ST, Los Angeles",-,40,PK-KG
Kindercourt Academy School,"1225 GREENWOOD AVE, San Carlos",-,82,PK-KG
Kinderhouse Montessori School,"6540 FLANDERS DR, San Diego",-,32,KG-3
King Of Kings Lutheran School,"13431 NEWHOPE ST, Garden Grove",-,79,PK-8
King's Of The Desert School,"67675 BOLERO RD, Palm Springs",-,222,PK-8
Kingdom Life Academy School,"30615 AVENIDA DE LAS FLORES, RSM",-,24,KG-8
Kings Academy School,"1717 E LINCOLN AVE, Escondido",-,56,KG-12
Kings Christian School,"900 E D ST, Lemoore",-,240,PK-12
Kings Valley Christian School,"4255 CLAYTON RD, Concord",-,259,KG-8
Kingsway Learning Center School,"8403 E. MURRAY CR. RD., Mountain Ranch",-,8,3-11
Kipp Academy Of Innovation School,"5156 Whittier Blvd., Los Angeles",78,252,05-08
Kipp Academy Of Opportunity School,"7019 S. Van Ness Ave., Los Angeles",27,367,05-08
Kipp Adelante Preparatory Academy School,"1475 Sixth Ave. Second Fl., San Diego",23,344,05-08
Kipp Bayview Academy School,"1060 Key Ave., San Francisco",58,288,05-08
Kipp Bridge Academy School,"1700 Market St., Oakland",39,317,KG-08
Kipp Comienza Community Prep School,"6410 Rita Ave., Huntington Park",93,552,KG-08
Kipp Empower Academy School,"8466 S. Figueroa St., Los Angeles",71,570,KG-04
Kipp Excelencia Community Preparatory School,"656 Laurel St., Redwood City",63,212,KG-08
Kipp Heartwood Academy School,"1250 S. King Rd., San Jose",84,406,05-08
Kipp Heritage Academy School,"2545 Sherlock Dr., San Jose",93,216,05-08
Kipp Ignite Academy School,"9110 S. Central Ave., Los Angeles",-,111,KG-04
Kipp Iluminar Academy School,"4800 E. Cesar Chavez Ave., Los Angeles",86,448,KG-04
Kipp King Collegiate High School,"2005 Via Barrett #B, San Lorenzo",84,559,09-12
Kipp Los Angeles College Preparatory School,"2810 Whittier Blvd., Los Angeles",87,497,05-08
Kipp Philosophers Academy School,"8300 S. Central Ave., Los Angeles",35,363,05-08
Kipp Promesa Prep School,"207 S. Dacotah St., Los Angeles",-,117,KG-04
Kipp Raices Academy School,"668 Atlantic Blvd., Los Angeles",95,548,KG-04
Kipp San Francisco Bay Academy School,"1430 Scott St., San Francisco",41,374,05-08
Kipp San Francisco College Preparatory School,"1195 Hudson Ave., San Francisco",75,312,09-12
Kipp San Jose Collegiate School,"1790 Edal Park Dr., San Jose",90,484,09-12
Kipp Lar Academy School,"1729 W. MLK Jr. Blvd., Los Angeles",45,391,05-08
Kipp Sol Academy School,"4800 E. Cesar Chavez Ave., Los Angeles",77,390,05-08
Kipp Summit Academy School,"2005 Via Barrett #A, San Lorenzo",95,416,05-08
Kipp Vida Preparatory Academy School,"5101 S. W.ern Ave., Los Angeles",61,335,KG-04
Kirk O' The Valley School,"19620 VANOWEN ST, Los Angeles",-,177,PK-5
Kittredge School,"2355 LAKE ST, San Francisco",-,86,KG-8
Koguma Youchien School,"2341 255TH ST, Lomita",-,30,PK-KG
Kolbe Academy & Trinity Prep School,"2055 REDWOOD RD, Napa",-,104,PK-12
Konocti Christian Academy School,"401 MARTIN ST., Lakeport",-,83,KG-8
