Name,Address,Rating,Enrollment,Grade span
Arise High School,"3301 E. 12th St. Ste. 205, Oakland",33,263,09-12
Ark Christian Academy School,"6539 ROSEMEAD BLVD, San Gabriel",-,200,PK-KG
Arlington Christian School,"6382 ARLINGTON BLVD, Richmond",-,22,KG-12
Armenian Mesrobian School,"8420 BEVERLY RD, Pico Rivera",-,215,PK-12
Armenian Sisters Academy School,"2361 FLORENCITA AVE, MONTROSE",-,260,PK-8
Army & Navy Academy School,"2605 CARLSBAD BLVD, Carlsbad",-,264,7-12
Arrow Montessori Of San Dimas School,"818 W GLADSTONE ST, San Dimas",-,126,PK-8
Arrowhead Christian Academy School,"105 TENNESSEE ST, Redlands",-,374,9-12
Arroyo Grande Montessori School,"216 OAK ST, Arroyo Grande",-,23,PK-KG
Arroyo Pacific Academy School,"41 W SANTA CLARA ST, Arcadia",-,163,9-12
Artek Child Education Center School,"546 W BROADWAY, Glendale",-,27,PK-KG
As You Are Pre School,"7855 LINDLEY AVE, Los Angeles",-,46,PK-KG
As-Safa Institute/As-Safa Academy School,"801 HIBISCUS LANE, San Jose",-,24,KG-12
Asa Charter School,"3512 N. E St., San Bernardino",6,232,KG-12
Ascend School,"3709 E. 12th St., Oakland",26,444,KG-08
Ascension Lutheran School,"1140 N MIDWAY DR, Escondido",-,33,PK-8
Ascension Lutheran School,"1600 E HILLCREST DR, Thousand Oaks",-,250,PK-8
Ascension Lutheran School,"17910 PRAIRIE AVE, Torrance",-,151,PK-8
Assumption Of The Bvm Elementary School,"2660 E ORANGE GROVE BLVD, Pasadena",-,315,KG-8
Assumption School,"3016 WINTER ST, Los Angeles",-,106,KG-8
Assumption School,"1851 136TH AVE, San Leandro",-,266,KG-8
Athena Academy School,"525 SAN ANTONIO AVE, Palo Alto",-,50,1-8
Aurora School,"40 DULWICH RD, Oakland",-,110,KG-5
Autism Academy School,"10824 TOPANGA CANYON BLVD, Los Angeles",-,27,2-12
Averroes High School,"43174 OSGOOD RD, Fremont",-,49,9-12
Abbott Middle School,"600 36th Ave., San Mateo",51,808,06-08
Abby Reinke Elementary School,"43799 Sunny Meadows Dr., Temecula",89,808,KG-05
Abraham Lincoln School,"15324 California Ave., Paramount",61,636,KG-05
Abraham Lincoln Alternative School,"2601 Rosamond Blvd., Rosamond",14,98,KG-12
Abraham Lincoln Continuation School,"4341 Victoria Ave., Riverside",16,198,09-12
Abraham Lincoln Elementary School,"444 E. Olive St., Colton",20,697,KG-06
Abraham Lincoln Elementary School,"3101 Pacific View Dr., Corona Del Mar",94,561,KG-06
Abraham Lincoln Elementary School,"21710 McClellan Rd., Cupertino",98,663,KG-05
Abraham Lincoln Elementary School,"4310 New York Ave., La Crescenta-Montrose",90,506,KG-06
Abraham Lincoln Elementary School,"74-100 Rutledge Way, Palm Desert",40,618,KG-05
Abraham Lincoln Elementary School,"3324 Glenmoor Dr., Sacramento",17,438,KG-06
Abraham Lincoln Elementary School,"425 S. Sullivan, Santa Ana",13,923,KG-05
Abraham Lincoln Elementary School,"850 W. Ninth St., Santa Rosa",8,358,KG-06
Abraham Lincoln High School,"555 Dana Ave., San Jose",59,"1,903",09-12
Abraham Lincoln Middle School,"1239 Nelson Blvd., Selma",38,994,07-08
Abraham Lincoln Senior High School,"3501 N. BRd.way, Los Angeles",41,"1,030",09-12
Abraxas Continuation High School,"12450 Glenoak Rd., Poway",21,248,09-12
Abraxis Charter School,"1207 Cleveland Ave., Santa Rosa",-,41,09-12
Acacia Elementary School,"1200 N. Acacia Ave., Fullerton",95,716,KG-06
Acacia Elementary School,"55 Norman Ave., Thousand Oaks",60,322,KG-05
Acacia Elementary Charter School,"1016 E. Bianchi Rd., Stockton",6,421,KG-05
Acacia Middle School,"1200 E. Acacia Ave., Hemet",20,746,06-08
Acacia Middle Charter School,"1016 E. Bianchi Rd., Stockton",14,127,06-08
Academy For Multilingual Arts And Sci At Mervyn M. Dymally High School,"8800 S. San Pedro St., Los Angeles",12,703,09-12
Academy Of Arts And Scis: Elementary Cajon Mid And High (6-12) School,"850 Hampshire Rd. Ste. C, Thousand Oaks",51,39,-
Academia Avance Charter School,"115 N. Ave. 53, Los Angeles",26,437,06-12
Academia Moderna School,"2410 BRd.way, Walnut Park",23,469,KG-05
Academies Of Education And Empowerment At Carson High School,"22328 S. Main St., Carson",37,563,09-12
Academies Of The Antelope Valley School,"6300 W. Ave. L, Quartz Hill",69,331,07-12
Academy (The)- Sf @mcateer School,"555 Portola Dr., San Francisco",47,318,09-12
Academy Performing Pre School,"12219 Second Ave., Victorville",-,-,KG-6
Academy For Academic Excellence School,"17500 Mana Rd., Apple Valley",65,"1,412",KG-12
Academy For Change School,"290 E. Ave., Chico",-,14,07-12
Academy For Enriched Sciences School,"17551 Miranda St., Los Angeles",88,285,KG-05
Academy Of Arts And Sciences: Del Mar School,"850 Hampshire Rd. Ste. P, Thousand Oaks",43,214,KG-12
Academy Of Arts And Sciences: Del Mar Elementary (K-5) School,"850 Hampshire Rd. Ste. C, Thousand Oaks",-,85,-
Academy Of Arts And Sciences: Elementary Cajon Elementary (K-5) School,"850 Hampshire Rd. Ste. C, Thousand Oaks",-,18,-
Academy Of Arts And Sciences: Fresno School,"850 Hampshire Rd. Ste. P, Thousand Oaks",35,125,KG-12
Academy Of Arts And Sciences: Los Angeles School,"850 Hampshire Rd. Ste. P, Thousand Oaks",-,-,KG-12
Academy Of Arts And Sciences: Los Angeles (9-12) School,"17500 Burbank Blvd., Los Angeles",30,29,-
Academy Of Arts And Sciences: Los Angeles (K-8) School,"17500 Burbank Blvd, Los Angeles",-,95,-
Academy Of Arts And Sciences: Oxnard & Ventura School,"850 Hampshire Rd. Ste.C, Westlake Village",75,79,-
